Schneefernerkopf,648618,5252563,2874
GratA,649151,5253506,2825
Schneefernerhaus,649306,5253361,2656
GratB,648625,5253081,2699
Zugspitzplatt,649450,5253082,2589
Mï¿½nchenerHaus,649720,5253869,2959
Zugspitze,649820,5253883,2962
JubigratA,650491,5253876,2808
JubigratB,650807,5253820,2763
InnereHoellentalsp,651647,5253641,2741
MittlereHoellentalsp,652327,5253881,2743
AussereHoellentalsp,652948,5253957,2720
Vollkarspitze,653451,5254043,2618
JubigratC,653921,5254235,2696
Grieskarscharte,653944,5254510,2463
Alpspitze,654421,5254915,2628
Grieskar,654862,5254471,2122
Stuibensee,655694,5254726,1921
Reintalangerhuette,653583,5252218,1369
Knorrhuette,651833,5252694,2051
HoellentalfernerA,650148,5254077,2500
HoellentalfernerB,650753,5254014,2400
Riffelriss,649785,5255330,1638
Eibsee,648613,5257689,973
HoellentalfernerC,651118,5253877,2300
SchneefernereckA,650423,5253675,2600
SchneefernereckB,650561,5253578,2500
WeissesTalA,651439,5253419,2400
WeissesTalB,651406,5253384,2300
Bergl,651490,5253812,2300
Gamskar,652000,5253616,2400
Kirchkar,652605,5253597,2400
unterVollkartsp,653486,5253438,2100
Mathaisenkar,653497,5254584,2023
amHochblassen,655007,5254083,2421
Blassenloch,655092,5253895,2100
HoherGaif,655638,5254164,2288
Schuetzengufel,655876,5253805,1756
A,646296,5250370,0
B,648437,5250748,0
C,650804,5251346,0
D,652647,5251737,0
E,654123,5252066,0
F,655685,5252444,0
G,657467,5252920,0
H,659529,5253360,0
I,661640,5253848,0
J,663885,5254421,0
A,646296,5250370,500
B,648437,5250748,500
C,650804,5251346,500
D,652647,5251737,500
E,654123,5252066,500
F,655685,5252444,500
G,657467,5252920,500
H,659529,5253360,500
I,661640,5253848,500
J,663885,5254421,500
A,646296,5250370,1000
B,648437,5250748,1000
C,650804,5251346,1000
D,652647,5251737,1000
E,654123,5252066,1000
F,655685,5252444,1000
G,657467,5252920,1000
H,659529,5253360,1000
I,661640,5253848,1000
J,663885,5254421,1000
A,646296,5250370,1500
B,648437,5250748,1500
C,650804,5251346,1500
D,652647,5251737,1500
E,654123,5252066,1500
F,655685,5252444,1500
G,657467,5252920,1500
H,659529,5253360,1500
I,661640,5253848,1500
J,663885,5254421,1500
A,646296,5250370,2000
B,648437,5250748,2000
C,650804,5251346,2000
D,652647,5251737,2000
E,654123,5252066,2000
F,655685,5252444,2000
G,657467,5252920,2000
H,659529,5253360,2000
I,661640,5253848,2000
J,663885,5254421,2000
A,646296,5250370,2500
B,648437,5250748,2500
C,650804,5251346,2500
D,652647,5251737,2500
E,654123,5252066,2500
F,655685,5252444,2500
G,657467,5252920,2500
H,659529,5253360,2500
I,661640,5253848,2500
J,663885,5254421,2500
A,646296,5250370,3000
B,648437,5250748,3000
C,650804,5251346,3000
D,652647,5251737,3000
E,654123,5252066,3000
F,655685,5252444,3000
G,657467,5252920,3000
H,659529,5253360,3000
I,661640,5253848,3000
J,663885,5254421,3000
